Index,Generation,Type,bulge,neck,tip_expansion,R_tip_mean_mm,t_bottom_mm,t_top_mm,L_mm
G1F1,1,F,0.8047,0.823,0.9146,37.4271,1.4709,1.3185,99.1108
G1F2,1,F,0.8878,0.9897,0.8088,51.3445,1.1611,1.1285,165.7152
G1F3,1,F,0.8455,0.9322,0.8378,33.9944,1.5733,1.8579,145.2361
G1F4,1,F,1.0953,0.8475,0.8727,32.4385,1.9593,0.9275,55.5871
G1F5,1,F,0.9678,0.8548,0.9341,40.0321,0.9823,1.6331,124.4235
G1F6,1,F,1.0288,0.9591,0.9512,54.5709,1.2129,1.7793,70.6779
G1F8,1,F,0.9262,0.9095,0.9849,46.5617,1.8205,1.3662,121.7616
G1FCylinder,1,F,1,1,1,44.5,2,2,50
G1R1,1,R,0.8047,0.823,0.9146,37.4271,1.4709,1.3185,99.1108
G1R2,1,R,0.8878,0.9897,0.8088,51.3445,1.1611,1.1285,165.7152
G1R3,1,R,0.8455,0.9322,0.8378,33.9944,1.5733,1.8579,145.2361
G1R4,1,R,1.0953,0.8475,0.8727,32.4385,1.9593,0.9275,55.5871
G1R5,1,R,0.9678,0.8548,0.9341,40.0321,0.9823,1.6331,124.4235
G1R6,1,R,1.0288,0.9591,0.9512,54.5709,1.2129,1.7793,70.6779
G1R8,1,R,0.9262,0.9095,0.9849,46.5617,1.8205,1.3662,121.7616
G1RCylinder,1,R,1,1,1,44.5,2,2,50
G2F1,2,F,0.9435,1,1,54.7544,2,2,59.0343
G2F2,2,F,0.9743,0.936,0.9288,50.2222,0.9466,1.1814,139.7882
G2F3,2,F,0.9707,0.8108,1,52.9585,1.3265,1.7038,106.7499
G2F4,2,F,0.9569,0.948,1,38.9731,1.4134,1.8866,51.7184
G2R1,2,R,0.8,1,0.9538,46.102,0.8413,2,42.5
G2R2,2,R,1.1,0.8,0.9262,48.9172,1.5824,2,42.5
G2R3,2,R,0.9658,0.9999,0.8762,55.25,0.9057,1.1437,134.7138
G2R4,2,R,0.8,0.8301,0.9781,34.9656,1.2387,1.7937,42.5
G3F1,3,F,1.1,1,0.9167,46.4392,2,2,42.5
G3F2,3,F,0.966,1,0.9535,46.456,0.7254,1.6946,102.5196
G3F3,3,F,0.9693,0.8,0.9435,44.4747,1.8731,1.567,93.6152
G3F4,3,F,0.9767,1,0.9562,45.9981,2,1.7573,154.9845
G3R1,3,R,1.0018,0.8,0.9749,40.7572,2,0.8202,50.164
G3R2,3,R,0.8463,0.9246,0.8258,55.25,0.7,2,42.5
G3R3,3,R,1.1,0.9045,1,55.25,2,0.8202,42.5
G3R4,3,R,1.1,1,0.8565,55.25,1.9619,2,170
G4F1,4,F,1.1,1,1,44.4818,2,2,42.5
G4F2,4,F,0.9545,1,1,43.4712,0.7,1.6655,114.0611
G4F3,4,F,1.1,1,0.8,44.1146,2,2,42.5
G4F4,4,F,0.9604,1,0.8,43.8113,0.7,1.7557,108.6049
