Index,Generation,Type,Session,T_star,T_star_std,I_star,I_star_std,P_star,P_star_std,STL_File,Representative
G1F1,1,F,G1,0.9165,0.0894,1.159,0.1531,1.159,0.1531,G1S1.stl,
G1F2,1,F,G1,0.9281,0.0344,1.0671,0.0522,1.0671,0.0522,G1S2.stl,
G1F3,1,F,G1,0.5885,0.0353,1.1836,0.0347,1.1836,0.0347,G1S3.stl,Flexible worst
G1F4,1,F,G1,0.5398,0.0114,1.1103,0.0517,1.1103,0.0517,G1S4.stl,
G1F5,1,F,G1,0.8658,0.0218,0.9837,0.03,0.9837,0.03,G1S5.stl,
G1F6,1,F,G1,0.9426,0.0149,1.0109,0.0869,1.0109,0.0869,G1S6.stl,
G1F8,1,F,G1,0.884,0.0406,0.9976,0.0408,0.9976,0.0408,G1S8.stl,
G1FCylinder,1,F,G1,1.1275,0.0373,1.0611,0.0676,1.0611,0.0676,,
G1R1,1,R,G1,0.8468,0.0501,1.052,0.0722,1.052,0.0722,G1S1.stl,
G1R2,1,R,G1,0.9482,0.0295,1.0244,0.0399,1.0244,0.0399,G1S2.stl,
G1R3,1,R,G1,0.2647,0.0085,1.2194,0.0566,1.2194,0.0566,G1S3.stl,
G1R4,1,R,G1,0.4633,0.0146,1.1148,0.0171,1.1148,0.0171,G1S4.stl,
G1R5,1,R,G1,0.9142,0.0273,1.0133,0.0514,1.0133,0.0514,G1S5.stl,
G1R6,1,R,G1,0.8674,0.0348,0.954,0.046,0.954,0.046,G1S6.stl,
G1R8,1,R,G1,0.8918,0.0217,1.0403,0.047,1.0403,0.047,G1S8.stl,
G1RCylinder,1,R,G1,0.9496,0.0184,1.0442,0.0468,1.0442,0.0468,,
G2F1,2,F,G2F,1.0276,0.0343,1.0275,0.0106,1.0275,0.0106,G2_F_S1.stl,
G2F2,2,F,G2F,1.1048,0.0445,1.0137,0.0202,1.0137,0.0202,G2_F_S2.stl,Flexible best 1
G2F3,2,F,G2F,1.0233,0.0043,0.9996,0.0522,0.9996,0.0522,G2_F_S3.stl,
G2F4,2,F,G2F,0.87,0.0368,1.0383,0.0332,1.0383,0.0332,G2_F_S4.stl,
G2R1,2,R,G2R_S12,0.8192,0.0129,1.0093,0.0245,1.0093,0.0245,G2_R_S1.stl,
G2R2,2,R,G2R_S12,0.9115,0.0222,1.0148,0.0377,1.0148,0.0377,G2_R_S2.stl,
G2R3,2,R,G2R_S34,0.9167,0.0371,1.0,0.0357,1.0,0.0357,G2_R_S3.stl,
G2R4,2,R,G2R_S34,0.79,0.038,1.1435,0.021,1.1435,0.021,G2_R_S4.stl,
G3F1,3,F,G3F,1.0168,0.0375,0.9887,0.0194,0.9887,0.0194,G3_F_S1.stl,Flexible best 2
G3F2,3,F,G3F,0.9331,0.0176,0.965,0.0406,0.965,0.0406,G3_F_S2.stl,
G3F3,3,F,G3F,0.8365,0.0307,1.0464,0.0407,1.0464,0.0407,G3_F_S3.stl,
G3F4,3,F,G3F,0.9306,0.0234,1.0201,0.0105,1.0201,0.0105,G3_F_S4.stl,
G3R1,3,R,G3R,0.9106,0.0288,0.9646,0.0215,0.9646,0.0215,G3_R_S1.stl,
G3R2,3,R,G3R,0.9766,0.0343,0.9585,0.0285,0.9585,0.0285,G3_R_S2.stl,Rigid best
G3R3,3,R,G3R,0.8983,0.0363,0.9484,0.0216,0.9484,0.0216,G3_R_S3.stl,
G3R4,3,R,G3R,0.8875,0.0139,0.9379,0.0154,0.9379,0.0154,G3_R_S4.stl,
G4F1,4,F,G4F,0.9675,0.0284,1.0692,0.0079,1.0692,0.0079,G4_F_S1.stl,
G4F2,4,F,G4F,0.9328,0.0231,1.019,0.0448,1.019,0.0448,G4_F_S2.stl,
G4F3,4,F,G4F,0.8119,0.0419,1.096,0.0143,1.096,0.0143,G4_F_S3.stl,
G4F4,4,F,G4F,0.8503,0.02,1.1519,0.07,1.1519,0.07,G4_F_S4.stl,
